Group ID,Group Name,Chemical Name
40,Glycol Ethers,Triethylene glycol
40,Glycol Ethers,Triethylene glycol butyl ether
40,Glycol Ethers,Triethylene glycol butyl ether mixture
40,Glycol Ethers,Triethylene glycol ether mixture
40,Glycol Ethers,Triethylene glycol ethyl ether
40,Glycol Ethers,Tripropylene glycol
40,Glycol Ethers,Tripropylene glycol methyl ether
41,Ethers,Butyl ether
41,Ethers,"2,2'-Dichloroethyl ether"
41,Ethers,Diglycidyl ether of Bisphenol A
41,Ethers,Diglycidyl ether of Bisphenol F
41,Ethers,Dimethyl furan
41,Ethers,"1,4-Dioxane"
41,Ethers,Diphenyl ether
41,Ethers,"Diphenyl ether, Diphenyl phenyl ether mixture"
41,Ethers,Ethyl ether
41,Ethers,Methyl-tert-butyl ether ?
41,Ethers,Methyl formal
41,Ethers,Propyl ether
41,Ethers,Tetrahydrofuran
42,Nitrocompounds,Dinitrotoluene
42,Nitrocompounds,Nitrobenzene
42,Nitrocompounds,o-Nitrochlorobenzene
42,Nitrocompounds,Nitroethane
42,Nitrocompounds,Nitropropane
42,Nitrocompounds,"Nitropropane, Nitroethane mixture"
42,Nitrocompounds,Nitrotoluene
43,Miscellaneous Water Solutions,Aluminum sulfate solution ?
43,Miscellaneous Water Solutions,"2-Amino-2-hydroxymethyl-1,3-propanediol solution"
43,Miscellaneous Water Solutions,Ammonium bisulfite solution ?
43,Miscellaneous Water Solutions,"Ammonium nitrate, Urea solution (not containing Ammonia)"
43,Miscellaneous Water Solutions,Ammonium polyphosphate solution
43,Miscellaneous Water Solutions,Ammonium sulfate solution
43,Miscellaneous Water Solutions,Ammonium thiosulfate solution
43,Miscellaneous Water Solutions,Calcium bromide solution
43,Miscellaneous Water Solutions,Calcium chloride solution
43,Miscellaneous Water Solutions,Corn syrup
43,Miscellaneous Water Solutions,Dextrose solution
43,Miscellaneous Water Solutions,Diammonium salt of Zinc EDTA solution
43,Miscellaneous Water Solutions,"2,4-Dichlorophenoxyacetic acid, Diethanolamine salt solution"
43,Miscellaneous Water Solutions,"2,4-Dichlorophenoxyacetic acid, Triisopropanolamine salt solution"
43,Miscellaneous Water Solutions,"Didecyl dimethyl ammonium chloride, Ethanol mixture solution"
43,Miscellaneous Water Solutions,"Diethanolamine salt of 2,4-Dichlorophenoxyacetic acid solution"
43,Miscellaneous Water Solutions,Dodecyl diphenyl ether disulfonate solution
43,Miscellaneous Water Solutions,"Drilling brine (containing Calcium, Potassium, or Sodium salts)"
43,Miscellaneous Water Solutions,Drilling brine (containing Zinc salts)
43,Miscellaneous Water Solutions,Drilling mud (low toxicity) (if non-flammable or non-combustible)
43,Miscellaneous Water Solutions,"Ethylenediaminetetracetic acid, tetrasodium salt solution"
43,Miscellaneous Water Solutions,Ethylene-Vinyl acetate copolymer emulsion
43,Miscellaneous Water Solutions,"Ferric hydroxyethylethylenediamine triacetic acid, trisodium salt solution ?"
43,Miscellaneous Water Solutions,Fish solubles (water based fish meal extracts)
43,Miscellaneous Water Solutions,Fructose solution
43,Miscellaneous Water Solutions,"Fumaric adduct of Rosin, water dispersion"
43,Miscellaneous Water Solutions,"N-(Hydroxyethyl)ethylene diamine triacetic acid, trisodium salt solution"
43,Miscellaneous Water Solutions,Kaolin clay slurry
43,Miscellaneous Water Solutions,"Latex, liquid synthetic"
43,Miscellaneous Water Solutions,Lignin liquor
43,Miscellaneous Water Solutions,"Naphthenic acid, sodium salt solution"
43,Miscellaneous Water Solutions,Rosin soap (disproportionated) solution
43,Miscellaneous Water Solutions,"Sewage sludge, treated"
43,Miscellaneous Water Solutions,Sodium alkyl sulfonate solution
43,Miscellaneous Water Solutions,Sodium hydrogen sulfite solution
43,Miscellaneous Water Solutions,Sodium polyacrylate solution ?
43,Miscellaneous Water Solutions,Sodium salt of Ferric hydroxyethylethylenediamine triacetic acid solution
43,Miscellaneous Water Solutions,Sodium silicate solution ²
43,Miscellaneous Water Solutions,Tall oil soap (disproportionated) solution
43,Miscellaneous Water Solutions,Tetrasodium salt of EDTA solution
43,Miscellaneous Water Solutions,"Triisopropanolamine salt of 2,4-Dichlorophenoxyacetic acid solution"
43,Miscellaneous Water Solutions,"Urea, Ammonium nitrate solution (not containing Ammonia)"
43,Miscellaneous Water Solutions,"Urea, Ammonium phosphate solution"
43,Miscellaneous Water Solutions,Vegetable protein solution (hydrolysed)
