Group ID,Group Name,Chemical Name
20,"Alcohols, Glycols",Methyl alcohol 
20,"Alcohols, Glycols",Methyl amyl alcohol
20,"Alcohols, Glycols",Methyl butenol
20,"Alcohols, Glycols",Methylbutynol
20,"Alcohols, Glycols",2-Methyl-2-hydroxy-3-butyne
20,"Alcohols, Glycols",Methyl isobutyl carbinol
20,"Alcohols, Glycols",3-Methyl-3-methoxybutanol
20,"Alcohols, Glycols",Molasses
20,"Alcohols, Glycols",Nonyl alcohol ²
20,"Alcohols, Glycols",Octyl alcohol ²
20,"Alcohols, Glycols",Pentadecanol
20,"Alcohols, Glycols",Polyalkylene oxide polyol
20,"Alcohols, Glycols","Polybutadiene, hydroxyl terminated"
20,"Alcohols, Glycols",Polyglycerol
20,"Alcohols, Glycols",Propyl alcohol ²
20,"Alcohols, Glycols",Propylene glycol ²
20,"Alcohols, Glycols",Rum
20,"Alcohols, Glycols",Sorbitol solutions
20,"Alcohols, Glycols",Tallow fatty alcohol
20,"Alcohols, Glycols",Tetradecanol
20,"Alcohols, Glycols",Tridecanol
20,"Alcohols, Glycols",Trimethylol propane polyethoxylate
20,"Alcohols, Glycols",Undecanol
20,"Alcohols, Glycols",Undecyl alcohol
21,"Phenols, Cresols",Benzyl alcohol
21,"Phenols, Cresols",Carbolic oil
21,"Phenols, Cresols",Creosote ²
21,"Phenols, Cresols",Cresols
21,"Phenols, Cresols",Cresylic acid
21,"Phenols, Cresols","2,4-Dichlorophenol"
21,"Phenols, Cresols",Dodecyl phenol
21,"Phenols, Cresols",o-Ethylphenol
21,"Phenols, Cresols",Nonyl phenol
21,"Phenols, Cresols",Octyl phenol
21,"Phenols, Cresols",Phenol
21,"Phenols, Cresols",Xylenols
22,Caprolactam Solutions,Caprolactam solution
30,Olefins,Amylene
30,Olefins,Butadiene
30,Olefins,"Butadiene, Butylene mixtures (cont. Acetylenes)"
30,Olefins,Butene
30,Olefins,Butene oligomer
30,Olefins,Butylene
30,Olefins,"1,5,9-Cyclododecatriene"
30,Olefins,"1,3-Cyclopentadiene dimer"
30,Olefins,Cyclopentadiene polymers
30,Olefins,"Cyclopentadiene, Styrene, Benzene mixture"
30,Olefins,Cyclopentene
30,Olefins,Decene
30,Olefins,Dicyclopentadiene
30,Olefins,Diisobutylene
30,Olefins,Dipentene
30,Olefins,Dodecene
30,Olefins,Ethylene
30,Olefins,Ethylidene norbornene ²
30,Olefins,1-Heptene
30,Olefins,Hexene
30,Olefins,Isoprene
30,Olefins,"Methyl acetylene, Propadiene mixture"
30,Olefins,Methylcyclopentadiene dimer
30,Olefins,2-Methyl-1-pentene
30,Olefins,4-Methyl-1-pentene
30,Olefins,alpha-Methyl styrene
30,Olefins,Myrcene
30,Olefins,Nonene
30,Olefins,1-Octadecene
30,Olefins,Octene
30,Olefins,Olefin mixtures
30,Olefins,alpha-Olefins (C6 - C18) mixtures
30,Olefins,alpha-Olefins (C13 and above)
30,Olefins,"1,3-Pentadiene"
30,Olefins,Pentene
30,Olefins,"Pentene, Miscellaneous hydrocarbon mixture ²"
30,Olefins,Pinene
30,Olefins,Polybutene
30,Olefins,Polypropylene
30,Olefins,Propylene
30,Olefins,Propylene-butylene copolymer
30,Olefins,Propylene dimer
30,Olefins,Propylene tetramer
30,Olefins,Propylene trimer
30,Olefins,Styrene
30,Olefins,Tetradecene
30,Olefins,Tridecene
30,Olefins,Triisobutylene
30,Olefins,Tripropylene
30,Olefins,Turpentine
30,Olefins,Undecene
31,Paraffins,Butane
31,Paraffins,Cycloaliphatic resins
31,Paraffins,Cycloheptane
31,Paraffins,Cyclohexane
31,Paraffins,Cyclopentane
31,Paraffins,Decane
31,Paraffins,Dodecane
31,Paraffins,Ethane
31,Paraffins,Heptane
31,Paraffins,Hexane ²
31,Paraffins,Methane
31,Paraffins,Methylcyclohexane
31,Paraffins,2-Methyl pentane
31,Paraffins,Nonane
31,Paraffins,Octane
31,Paraffins,n-Paraffins (C10 - C20)
31,Paraffins,Pentane
31,Paraffins,Propane
31,Paraffins,iso-Propylcyclohexane
31,Paraffins,Tridecane
31,Paraffins,Waxes
32,Aromatic Hydrocarbons,Alkyl acrylate-Vinyl pyridine copolymer in Toluene
32,Aromatic Hydrocarbons,Alkyl(C9 - C17) benzenes
32,Aromatic Hydrocarbons,Benzene
32,Aromatic Hydrocarbons,Benzene hydrocarbon mixtures (having 10% Benzene or more)
32,Aromatic Hydrocarbons,"Benzene, Toluene, Xylene mixtures"
32,Aromatic Hydrocarbons,Butylbenzene
32,Aromatic Hydrocarbons,"Butyl phenol, Formaldehyde resin in Xylene"
32,Aromatic Hydrocarbons,Butyl toluene
32,Aromatic Hydrocarbons,Cumene
32,Aromatic Hydrocarbons,Cymene
32,Aromatic Hydrocarbons,Decylbenzene
32,Aromatic Hydrocarbons,Dialkyl(C10 - C14) benzenes
32,Aromatic Hydrocarbons,Diethylbenzene
32,Aromatic Hydrocarbons,Diisopropylbenzene
32,Aromatic Hydrocarbons,Diisopropyl naphthalene
32,Aromatic Hydrocarbons,Diphenyl
32,Aromatic Hydrocarbons,Dodecylbenzene
32,Aromatic Hydrocarbons,Ethylbenzene
32,Aromatic Hydrocarbons,Ethyl toluene
32,Aromatic Hydrocarbons,Isopropylbenzene
32,Aromatic Hydrocarbons,Methyl naphthalene
32,Aromatic Hydrocarbons,Naphthalene
32,Aromatic Hydrocarbons,1-Phenyl-1-xylyl ethane
32,Aromatic Hydrocarbons,Propylbenzene
32,Aromatic Hydrocarbons,Pseudocumene
32,Aromatic Hydrocarbons,Tetradecylbenzene
32,Aromatic Hydrocarbons,Tetrahydronaphthalene
32,Aromatic Hydrocarbons,"1,2,3,5-Tetramethylbenzene"
32,Aromatic Hydrocarbons,Toluene
32,Aromatic Hydrocarbons,Tridecylbenzene
32,Aromatic Hydrocarbons,Triethylbenzene
32,Aromatic Hydrocarbons,Trimethylbenzene
32,Aromatic Hydrocarbons,Undecylbenzene
32,Aromatic Hydrocarbons,Xylene
33,Miscellaneous Hydrocarbon Mixtures,"Alkylbenzenesulfonic acid, sodium salt solutions"
33,Miscellaneous Hydrocarbon Mixtures,"Asphalt blending stocks, roofers flux"
33,Miscellaneous Hydrocarbon Mixtures,"Asphalt blending stocks, straight run residue"
33,Miscellaneous Hydrocarbon Mixtures,Aviation alkylates
33,Miscellaneous Hydrocarbon Mixtures,"Calcium sulfonate, Calcium carbonate, Hydrocarbon solvent mixture"
33,Miscellaneous Hydrocarbon Mixtures,Carbon black base
33,Miscellaneous Hydrocarbon Mixtures,Coal tar
33,Miscellaneous Hydrocarbon Mixtures,Coal tar pitch
33,Miscellaneous Hydrocarbon Mixtures,Decahydronaphthalene
33,Miscellaneous Hydrocarbon Mixtures,"Diphenyl, Diphenyl ether"
33,Miscellaneous Hydrocarbon Mixtures,"Distillates, flashed feed stocks"
33,Miscellaneous Hydrocarbon Mixtures,"Distillates, straight run"
33,Miscellaneous Hydrocarbon Mixtures,Drilling mud (low toxicity) (if flammable or combustible)
33,Miscellaneous Hydrocarbon Mixtures,Fatty acid amides
33,Miscellaneous Hydrocarbon Mixtures,"Gas oil, cracked"
33,Miscellaneous Hydrocarbon Mixtures,"Gasoline blending stock, alkylates"
33,Miscellaneous Hydrocarbon Mixtures,"Gasoline blending stock, reformates"
33,Miscellaneous Hydrocarbon Mixtures,Gasolines: Automotive (not over 4.23 grams lead per gal.)
33,Miscellaneous Hydrocarbon Mixtures,Gasolines: Aviation (not over 4.86 grams lead per gal.)
33,Miscellaneous Hydrocarbon Mixtures,Gasolines: Casinghead (natural)
33,Miscellaneous Hydrocarbon Mixtures,Gasolines: Polymer
33,Miscellaneous Hydrocarbon Mixtures,Gasolines: Straight run
33,Miscellaneous Hydrocarbon Mixtures,"Glycols, Resins, and Solvents mixture"
33,Miscellaneous Hydrocarbon Mixtures,Herbicide (C15-H22-NO2-Cl)
33,Miscellaneous Hydrocarbon Mixtures,Jet Fuels: JP-1
33,Miscellaneous Hydrocarbon Mixtures,Jet Fuels: JP-3
33,Miscellaneous Hydrocarbon Mixtures,Jet Fuels: JP-4
33,Miscellaneous Hydrocarbon Mixtures,Jet Fuels: JP-5
33,Miscellaneous Hydrocarbon Mixtures,Jet Fuels:
34,Esters,Acetyl tributyl citrate
34,Esters,Alkyl phthalates
34,Esters,Amyl acetate
34,Esters,Amyl tallate
34,Esters,Benzene tricarboxylic acid trioctyl ester
34,Esters,Benzyl acetate
34,Esters,Butyl acetate
34,Esters,Butyl benzyl phthalate
34,Esters,n-Butyl butyrate
34,Esters,Butyl formate
34,Esters,iso-Butyl isobutyrate
34,Esters,Calcium naphthenate in Mineral oil
34,Esters,"Calcium nitrate, Magnesium nitrate, Potassium chloride solution"
34,Esters,"Coconut oil, fatty acid"
34,Esters,"Cottonseed oil, fatty acid"
34,Esters,Cyclohexyl acetate
34,Esters,Dialkyl(C7 - C13) phthalates
34,Esters,Dibutyl phthalate
34,Esters,Diethylene glycol butyl ether acetate
34,Esters,Diethylene glycol ethyl ether acetate
34,Esters,Diethylene glycol methyl ether acetate
34,Esters,Diethylene glycol phthalate
34,Esters,Di-(2-ethylhexyl)adipate
34,Esters,Di-(2-ethylhexyl)phthalate
34,Esters,Diethyl phthalate
34,Esters,Diethyl sulfate
34,Esters,Diheptyl phthalate
34,Esters,Di-n-hexyl adipate
34,Esters,Diisobutyl phthalate
34,Esters,Diisodecyl phthalate
34,Esters,Diisononyl adipate
34,Esters,Diisononyl phthalate
34,Esters,Diisooctyl phthalate
34,Esters,Dimethyl adipate
34,Esters,Dimethylcyclicsiloxane hydrolyzate
34,Esters,Dimethyl glutarate
34,Esters,Dimethyl hydrogen phosphite ?
34,Esters,"Dimethyl naphthalene sulfonic acid, sodium salt solution ?"
34,Esters,Dimethyl phthalate
34,Esters,Dimethyl polysiloxane
34,Esters,Dimethyl succinate
34,Esters,Dinonyl phthalate
34,Esters,Dioctyl phthalate
34,Esters,Dipropylene glycol dibenzoate
34,Esters,Ditridecyl phthalate
34,Esters,"2-Dodecenylsuccinic acid, dipotassium salt solution"
34,Esters,Diundecyl phthalate
34,Esters,2-Ethoxyethyl acetate
34,Esters,Ethyl acetate
34,Esters,Ethyl acetoacetate
34,Esters,Ethyl butyrate
34,Esters,Ethylene glycol acetate
34,Esters,Ethylene glycol butyl ether acetate
34,Esters,Ethylene glycol diacetate
34,Esters,Ethylene glycol ethyl ether acetate
34,Esters,Ethylene glycol methyl ether acetate
34,Esters,Ethyl-3-ethoxypropionate
34,Esters,Ethyl hexyl phthalate
34,Esters,Ethyl hexyl tallate
34,Esters,Ethyl propionate
34,Esters,"Fatty acids (saturated, C13 and above)"
34,Esters,Glycerol polyalkoxylate
34,Esters,Glyceryl triacetate
34,Esters,Glycidyl ester of tridecylacetic acid
34,Esters,Glycidyl ester of Versatic acid
34,Esters,Glycol diacetate
34,Esters,Heptyl acetate
34,Esters,Hexyl acetate
34,Esters,Lauric acid
34,Esters,Magnesium sulfonate
34,Esters,3-Methoxybutyl acetate
34,Esters,1-Methoxy-2-propyl acetate
34,Esters,Methyl acetate
34,Esters,Methyl acetoacetate
34,Esters,Methyl amyl acetate
34,Esters,Methyl butyrate
34,Esters,Methyl formate
34,Esters,3-Methyl-3-methoxybutyl acetate
34,Esters,Methyl salicylate
34,Esters,Metolachlor
34,Esters,"Naphthalene sulfonic acid, sodium salt solution (40% or less)"
34,Esters,Octyl decyl adipate
34,Esters,Octyl epoxytallate
34,Esters,Octyl nitrate ?
34,Esters,"Oil, edible: Babassu"
34,Esters,"Oil, edible: Castor"
34,Esters,"Oil, edible: Coconut ?"
34,Esters,"Oil, edible: Corn"
34,Esters,"Oil, edible: Cotton seed"
34,Esters,"Oil, edible: Fish ?"
34,Esters,"Oil, edible: Lard"
34,Esters,"Oil, edible: Olive"
34,Esters,"Oil, edible: Palm ?"
34,Esters,"Oil, edible: Palm kernel"
34,Esters,"Oil, edible: Peanut"
34,Esters,"Oil, edible: Rapeseed"
34,Esters,"Oil, edible: Rice bran"
34,Esters,"Oil, edible: Safflower"
34,Esters,"Oil, edible: Soya bean"
34,Esters,"Oil, edible: Sunflower"
34,Esters,"Oil, edible: Sunflower seed"
34,Esters,"Oil, edible: Tucum"
34,Esters,"Oil, edible: Vegetable"
34,Esters,"Oil, misc: Coconut oil, fatty acid methyl ester"
34,Esters,"Oil, misc: Cotton seed oil, fatty acid"
34,Esters,"Oil, misc: Palm oil, fatty acid methyl ester"
34,Esters,"Oil, misc: Palm oil, methyl ester"
34,Esters,"Oil, misc: Soapstock"
34,Esters,"Oil, misc: Tall"
34,Esters,"Oil, misc: Tall, fatty acid ?"
34,Esters,"Oil, misc: Tung"
34,Esters,Oleic acid
34,Esters,"Palm kernel oil, fatty acid"
34,Esters,"Palm kernel oil, fatty acid methyl ester"
34,Esters,Palm stearin
34,Esters,Polydimethylsiloxane
34,Esters,Polyferric sulfate solution
34,Esters,Polymethylsiloxane
34,Esters,Poly(20)oxyethylene sorbitan monooleate
34,Esters,Polysiloxane
34,Esters,Potassium oleate
34,Esters,Propyl acetate
34,Esters,Sodium acetate solution
34,Esters,Sodium benzoate solution
34,Esters,Sodium dimethyl naphthalene sulfonate solution ?
34,Esters,Sodium naphthalene sulfonate solution
34,Esters,Stearic acid
34,Esters,Tall oil
34,Esters,Tallow ?
34,Esters,Tallow fatty acid ?
34,Esters,Triarylphosphate
34,Esters,Tributyl phosphate
34,Esters,Tricresyl phosphate
34,Esters,Triethylene glycol di-(2-ethylbutyrate)
34,Esters,Triethyl phosphate
34,Esters,Triethyl phosphite ?
34,Esters,Triisooctyl trimellitate ?
34,Esters,"2,2,4-Trimethyl pentanediol-1,3-diisobutyrate"
34,Esters,"2,2,4-Trimethyl-1,3-pentanediol-1-isobutyrate"
34,Esters,"2,2,4-Trimethyl-3-pentanol-1-isobutyrate"
34,Esters,Trimethyl phosphite ?
34,Esters,Trisodium nitrilotriacetate
34,Esters,Trixylenyl phosphate
34,Esters,Vinyl acetate-Fumarate copolymer
34,Esters,Waxes: Carnauba
35,Vinyl Halides,Vinyl chloride
35,Vinyl Halides,Vinylidene chloride
36,Halogenated Hydrocarbons,Benzyl chloride
36,Halogenated Hydrocarbons,Carbon tetrachloride
36,Halogenated Hydrocarbons,Chlorinated paraffins (C10 - C13)
36,Halogenated Hydrocarbons,Chlorinated paraffins (C14 - C17)
36,Halogenated Hydrocarbons,Chlorobenzene
36,Halogenated Hydrocarbons,Chlorodifluoromethane
36,Halogenated Hydrocarbons,Chloroform
36,Halogenated Hydrocarbons,Chlorotoluene
36,Halogenated Hydrocarbons,Dichlorobenzene
36,Halogenated Hydrocarbons,Dichlorodifluoromethane
36,Halogenated Hydrocarbons,"1,1-Dichloroethane"
