,ID,Chemical Name,CAS Number,MARPOL,FOSFA,NIOP,EU,Relative Density,Solubility,Boiling Point (°C),Melting Point (°C),Viscosity (mPa·s),Flash Point (°C),Static Accumulator,
,362,ShellSol D90,64742-47-8,A1,-,-,-,0.788 (@15°C),Insoluble,225,-30,1.55 (@25°C),95,Yes,
,362,ShellSol H,64742-82-1,A1,-,-,-,0.79 (@15°C),Insoluble,187,-30,1.4 (@25°C),63,Yes,
,362,ShellSol T,64741-65-7,A1,-,-,-,0.761 (@15°C),Insoluble,187,-30,1.9 (@25°C),60,Yes,
,362,ShellSol TD,64741-65-7,A1,-,-,-,0.751 (@15°C),Insoluble,172,-30,1.2,44,Yes,
,362,ShellSol TH,-,A1,-,-,-,0.761 (@15°C),Insoluble,187,-30,1.4 (@25°C),63,Yes,
,362,ShellSol TK,64741-65-7,A1,-,-,-,0.77 (@15°C),Insoluble,185,-,1.29 (Approx.),60,Yes,
,363,Slack Wax,64742-61-6,A1,-,-,-,0.78 (@70°C),Insoluble,280,50,3.5,220,Yes,
,364,Sodium Hydroxide Solution 50%,1310-73-2,Y,A,L2,A,1.52,Complete,140,14,120,-,-,
,365,Sodium Silicate,1344-09-08,Y,A,L2,A,1.4 (Approx.),Complete,102,-,-,-,-,
[366] SOLVESSOS,,,,,,,,,,,,,,,
,366,Solvesso 100,64742-95-6,A1,-,-,-,0.88 (@15°C),Negligible,165,-114,0.89,50,Yes,
,366,Solvesso 150,64742-94-5,A1,-,-,-,0.894,Insoluble,175,-20,1.14,62,Yes,
,366,Solvesso 200,64742-94-5,A1,-,-,-,0.987,Insoluble,220,-10,3.2 (@25°C),95,Yes,
,367,Sorbitol,50-70-4,OS,A,L1,A,1.29 (70% sol.),Complete,105,-,-,283,-,
,368,Soyabean Oil,8001-22-7,Y,A,L1,A,0.92,Insoluble,250,-10,60,320,-,
[369] SPECIAL BOILING POINT SOLVENTS,,,,,,,,,,,,,,,
,369,SBP 100/140,64742-49-0,A1,-,-,-,0.728 (@15°C),Insoluble,107,-30,0.76 (@25°C),1,Yes,
,369,SBP 140/165,64742-49-0,A1,-,-,-,0.75 (@15°C),Insoluble,143,-30,0.91 (@25°C),27,Yes,
,369,SBP 80/100,64742-49-0,A1,-,-,-,0.714 (@15°C),Insoluble,88,-30,0.61 (@25°C),-12,Yes,
,370,Stearic Acid,57-11-4,Y,A,L2,A,0.84 (@60°C),1,300,70,-,-,-,
,371,Styrene Monomer,100-42-5,Y,B,-,-,0.906,Insoluble,145,-31,0.7 (@25°C),32,Yes,
,372,Sulpholane,126-33-0,Y,-,-,-,1.261,Complete,285,27,10.34,165,-,
,373,Sulphuric Acid,7664-93-9,Y,A,L2,A,1.8,Complete,340,3,14.6,-,-,
,374,Sunflower Oil,-,Y,A,L1,A,0.92,Insoluble,204,-18,68 (Lower limit),160,-,
,375,Tall Oil Fatty Acid (Type I & II),61790-12-3,Y,-,L2,-,0.9,Insoluble,-,-,40 (Lower limit),200,-,
,376,Tall Oil Pitch,8016-81-7,Y,B,-,-,1 (@25°C),Insoluble,200,-,30000,200,-,
,377,"Tall Oil, Crude",8002-26-4,Y,B,-,-,0.97 (Lower limit),Insoluble,200,-10,120 (5–120),120,-,
,378,Tallow,-,Y,A,L2,A,0.89,Insoluble,-,25,-,-,-,
,379,tert-Butanol,75-65-0,Z,-,-,-,0.78,Complete,83,26,3,11,-,
,380,tert-Butyl Acrylate,1663-39-4,Y,B,-,-,0.885,0.2,121,-69,-,10,Yes,
,381,"1,1,2,2-Tetrachloroethane",79-34-5,Y,-,-,-,1.6,0.3,147,-43,1.84,-,-,
,382,Tetraethylene Glycol,112-60-7,Z,-,-,-,1.125,Complete,327,-4,44.6,174,-,
,383,Tetraethylenepentamine,112-57-2,Y,-,-,-,1,Complete,330,-30,-,163,-,
,384,Tetrahydrofuran,109-99-9,Z,-,-,-,0.887,Complete,66,-108,0.456 (@25°C),-22,Yes,
,385,"1,2,3,4-Tetrahydronaphthalene",119-64-2,Y,-,-,-,0.97,Insoluble,208,-30,2,71,-,
,386,Toluene,108-88-3,Y,-,-,-,0.87 (@15°C),Insoluble,111,-95,0.59,4,Yes,
,387,Toluene Diisocyanate,584-84-9,Y,B,-,-,1.22,Reaction,247,12.5,5.5,127,-,
,388,Tributyl Phosphate,126-73-8,Y,-,-,-,0.98,0.4,290,-80,3.4,146,-,
,389,"1,1,2-Trichloro-1,2,2-Trifluoroethane",76-13-1,Y,-,-,-,1.56,0.028,47,-35,-,-,-,
,390,"1,2,4-Trichlorobenzene",120-82-1,X,-,-,-,1.45,Insoluble,213,17,-,110,-,
,391,"1,1,2-Trichloroethane",79-00-5,Y,-,-,-,1.4,0.4,114,-35,1.2,-,-,
,392,Trichloroethylene,79-01-6,Y,-,-,-,1.46,0.11,87,-86,0.58,-,-,
,393,"1,2,3-Trichloropropane",96-18-4,Y,-,-,-,1.4,0.18,156,-15,-,74,-,
,394,Tridecane,629-50-5,Y,-,-,-,0.756,Insoluble,234,-4,1.55,79,-,
,395,Tridecanol,112-70-9,Y,A,L2,A,0.84 (Approx.),Insoluble,240,30,-,82,-,
,396,Triethanolamine,102-71-6,Z,-,-,-,1.13,Complete,310,16,-,194,-,
,397,Triethylamine,121-44-8,Y,-,-,-,0.73,Complete,89,-115,0.38,-7,-,
,398,Triethylene Glycol,112-27-6,OS,-,-,-,1.125,Complete,286,-4,47.8,165,-,
,399,Triethylene Glycol Monomethyl Ether,112-35-6,Z,-,-,-,1.05,Complete,249,-44,-,110,-,
,400,Triethylenetetramine,112-24-3,Y,-,-,-,0.98,Complete,277,-35,26,148,-,
,401,Triethyl Phosphate,78-40-0,Z,-,-,-,1.07,Complete,210,-56,-,115,-,
,402,Triethyl Phosphite,122-52-1,Z,-,-,-,0.96,Reaction,156,-112,-,54,-,
,403,Triisopropanolamine,122-20-3,Z,-,-,-,1,Complete,301,45,100 (@60°C),174,-,
,404,Trimethylacetic Acid,75-98-9,Y,-,-,-,0.905,2.2,164,35,-,64,-,
,405,Trimethylamine Solution (≤30%),75-50-3,Z,-,-,-,0.97,Complete,30,-2,-,-20,-,
[406] TRIMETHYLBENZENES,,,,,,,,,,,,,,,
,406,"1,2,4-Trimethylbenzene",95-63-6,X,-,-,-,0.88,Insoluble,168,-44,-,44,Yes,
,406,"1,3,5-Trimethylbenzene",108-67-8,X,-,-,-,0.86,Insoluble,165,-45,-,44,Yes,
,407,Trimethyl Phosphite,121-45-9,-,-,-,-,1.05,Reaction,110,-78,-,27,-,
,408,Tripropylene Glycol,24800-44-0,Z,-,-,-,1.021,Complete,270,-20,55,145,-,
,409,Tung Oil,8001-20-5,Y,A,L2,A,0.87,Insoluble,205,4,117 (@37°C),-,-,
,410,Ultra Low Sulphur Fuel Oil DM Grade,68476-33-5,A1,-,-,-,0.91 (0.79–0.91),Insoluble,-,18,60 (10–60 @50°C),61,Yes,
,411,Ultra Low Sulphur Fuel Oil RM Grade,68476-33-5,A1,-,-,-,0.91 (0.79–0.91),Insoluble,-,18,60 (10–60 @50°C),61,Yes,
,412,Undecane,1120-21-4,Y,-,-,-,0.74,Insoluble,196,-26,1.17,60,-,
,413,Urea Ammonium Nitrate Solution,6484-52-2,Y,A,L2,A,1.32 (1.265–1.35),100,121,0,3,-,-,
,414,Urea Solution,57-13-6,Z,A,-,-,1.09,100,100,-11.5,-,-,-,
,415,Used Cooking Oil,68475-81-0,X,B,-,-,0.89 (@60°C),Insoluble,-,20,65.23,255,-,
,416,Used Cooking Oil (Triglycerides C16–C18 & C18 Unsaturated),68990-65-8,Y,B,-,-,0.91 (0.91–0.94),Insoluble,-,25,40 (@40°C),220,-,
,417,Used Cooking Oil Methyl Esters,67762-38-3,Y,B,-,-,0.8881,Insoluble,354,6,40 (@40°C),173,-,
,418,Vacuum Gas Oil,64741-57-7,A1,-,-,-,0.91 (@15°C),Insoluble,300,12,40 (@50°C),130,Yes,
,419,Valeraldehyde,110-62-3,Y,-,-,-,0.81,1.8,100,-92,0.54,4,Yes,
[420] VARSOLS,,,,,,,,,,,,,,,
,420,Varsol 140,-,Y,-,-,-,0.845,Insoluble,295,-,6.84,140,Yes,
,420,Varsol 30,-,A1,-,-,-,0.771,Insoluble,137,-,0.74,29,Yes,
,420,Varsol 40,-,A1,-,-,-,0.783,Insoluble,153,-,0.87,41,Yes,
,420,Varsol 80,-,A1,-,-,-,0.812,Insoluble,203,-,1.62,79,Yes,
,421,Vegetable Acid Oils,-,Y,-,-,-,Unknown,Insoluble,-,-,-,-,-,
,422,Very Low Sulphur Fuel Oil DM Grade,68476-33-5,A1,-,-,-,0.91 (0.79–0.91),Insoluble,-,-,-,61,Yes,
,423,Very Low Sulphur Fuel Oil RM Grade,68476-33-5,A1,-,-,-,0.91 (0.79–0.91),Insoluble,-,-,-,61,Yes,
,424,Vinyl Ethyl Ether,109-92-2,Z,-,-,-,0.75,0.8,36,-115,-,-46,Yes,
,425,Vinyl Acetate,0108-05-04,Y,B,-,-,0.934,2,73,-93,0.4,-4,Yes,
,426,Vinylidene Chloride,75-35-4,Y,-,-,-,1.22,0.5,32,-122,0.33,-10,-,
,427,Vinyltoluenes (Mixed Isomers),25013-15-4,Y,B,-,-,0.9,Insoluble,170,-77,0.84,53,-,
,428,Waxy Residues,-,A1,B,-,-,0.97 (Upper Limit),Insoluble,200,38,-,215,-,
,429,White Spirit High Aromatic,64742-82-1,A1,-,-,-,0.8,Insoluble,148,-,-,40,Yes,
,430,White Spirit Low (15–20%) Aromatic,64742-82-1,Y,-,-,-,0.78 (@15°C),Insoluble,155,-50,1.75,41,Yes,
[431] XYLENES,,,,,,,,,,,,,,,
,431,Meta-Xylene,108-38-3,Y,-,-,-,0.868,Insoluble,138,-48,0.64,25,Yes,
,431,Ortho-Xylene,95-47-6,Y,-,-,-,0.83 (@15°C),Insoluble,145,-24,0.9,27,Yes,
,431,Para-Xylene,106-42-3,Y,-,-,-,0.861,Insoluble,138,13,0.65,23,Yes,
,431,Xylenes (Mixed Isomers),1330-20-7,Y,-,-,-,0.86 (@15°C),Insoluble,140,-50,0.90 (Approx.),25,Yes,
