,ID,Chemical Name,CAS Number,MARPOL,FOSFA,NIOP,EU,Relative Density,Solubility,Boiling Point (°C),Melting Point (°C),Viscosity (mPa·s),Flash Point (°C),Static Accumulator,
,60,CRUDE CONDENSATE,64741-47-5,A1,,,,0.71,INSOLUBLE,10,-54,1,-43,YES,
,61,CRUDE OIL,8002-05-09,A1,B,,,0.97,INSOLUBLE,38,-15,,23,YES,
,62,CUMENE,98-82-8,Y,,,,0.862,INSOLUBLE,151,-96,0.79,44,YES,
,63,CUTTER STOCK,101631-14-5,A1,B,,,0.986 (@15°C),,177,-30,5.916 (@50°C),62,YES,
,64,CYCLOHEPTANE,291-64-5,X,,,,0.81,INSOLUBLE,117,-8,1.64,6,YES,
,65,CYCLOHEXANE,110-82-7,Y,A,L2,A,0.78,INSOLUBLE,81,7,1.04,-18,YES,
,66,CYCLOHEXANOL,108-93-0,Y,A,L2,,0.95,4,161,24,70,68,,
,67,CYCLOHEXANONE,108-94-1,Z,A,L2,,0.95,5,156,-31,2.3,38,,
,68,CYCLOHEXYLAMINE,108-91-8,Y,,,,0.865,COMPLETE,134,-18,,21,,
,69,DECAHYDRONAPHTHALENE,91-17-8,Y,,,,0.9,INSOLUBLE,190,-42,1.83,54,,
,70,DECANE,124-18-5,Y,A,,,0.73,INSOLUBLE,174,-30,0.92,46,,
,71,DECANOL,112-30-1,Y,A,L2,A,0.829,INSOLUBLE,231,7,12.44,82,,
,72,DI-(2-ETHYLHEXYL) PHOSPHORIC ACID,0298-07-07,Y,,,,0.98,0.018,48,-60,47,134,,
,73,DI(N-BUTYL)AMINE,111-92-2,Y,B,,,0.76,0.47,159,-51,0.9,42,,
,74,DIACETONE ALCOHOL,123-42-2,Z,,,,0.94,COMPLETE,166,-47,3.2,58,,
,75,DIBROMOMETHANE,74-95-3,Y,,,,2.5,1.3,96,-53,,,,
,76,DICHLOROETHYL ETHER,111-44-4,Y,,,,1.2,1.1,177,-52,3,55,,
,77,DICHLOROISOPROPYL ETHER,108-60-1,Y,,,,1.1,INSOLUBLE,187,,,85,,
,78,"2,4-DICHLOROPHENOL",120-83-2,Y,,,,1.38 (Approx.),0.46,210,45,,114,,
,79,"2,2-DICHLOROPROPIONIC ACID",75-99-0,Y,,,,1.4,COMPLETE,185,7.7,,110,,
,80,DICYCLOPENTADIENE,77-73-6,Y,,,,0.98 (Approx.),INSOLUBLE,170,10,4,25,YES,
,81,DIESEL OIL,68476-34-6,A1,,,,0.90 (Approx.),INSOLUBLE,180,0,2.5 (@40°C),60,YES,
,82,DIETHANOLAMINE,111-42-2,Y,B,,,1.09,95,268,28,380 (@30°C),191,,
,83,DIETHYLAMINE,109-89-7,Y,,,,0.71,COMPLETE,56,-50,0.367,-20,,
,84,DIETHYLAMINOETHANOL,100-37-8,Y,,,,0.9,COMPLETE,161,-70,4.9,60,,
,85,DIETHYLBENZENES (MIXED ISOMERS),25340-17-4,Y,,,,0.86 (Min.),INSOLUBLE,180,-31,,57,YES,
,86,DIETHYLENE GLYCOL,111-46-6,Z,,,,1.12,COMPLETE,245,-10,38,149,,
,87,DIETHYLENE GLYCOL DIBUTYL ETHER,112-73-2,Z,,,,0.89,0.9,256,-60,2.39,47,,
,88,DIETHYLENE GLYCOL DIETHYL ETHER,112-36-7,Z,,,,0.908,COMPLETE,180,-44,,54,,
,89,DIETHYLENE GLYCOL MONOBUTYL ETHER,112-34-5,Z,,,,0.95,COMPLETE,231,-68,6.3,78,,
,90,DIETHYLENE GLYCOL MONOBUTYL ETHER ACETATE,124-17-4,Y,,,,0.98,6.5,245,-32,3.5,105,,
,91,DIETHYLENE GLYCOL MONOETHYL ETHER,111-90-0,Z,,,,0.99,COMPLETE,196,-54,4.4,91,,
,92,DIETHYLENE GLYCOL MONOETHYL ETHER ACETATE,112-15-2,Y,,,,1.01,COMPLETE,218,-25,,98,,
,93,DIETHYLENE GLYCOL MONOMETHYL ETHER,111-77-3,Z,,,,1.02,COMPLETE,194,-85,4,83,,
,94,DIETHYLENETRIAMINE,111-40-0,Y,B,,,0.96,COMPLETE,207,-39,5,97,,
,95,DIETHYL SULPHATE,64-67-5,Y,,,,1.177,REACTION,208,-25,,104,,
,96,DIISOBUTYLAMINE,110-96-3,Y,,,,0.75,0.22,139,-70,,24,YES,
,97,DIISOBUTYLENE (MIXED ISOMERS),25167-70-8,Y,,,,0.72,INSOLUBLE,102,-94,0.55,-6,YES,
,98,DIISOBUTYL KETONE,108-83-8,Y,,,,0.81,0.26,168,-42,0.92,48,YES,
,99,DIISOPROPANOLAMINE,110-97-4,Z,,,,0.99 (@40°C),100,248,44.5,86 (@60°C),136,,
,100,DIISOPROPYLAMINE,108-18-9,Y,B,,,0.72,COMPLETE,84,-96,0.4,-7,,
,101,DIMETHYLACETAMIDE,127-19-5,Z,,,,0.94,COMPLETE,166,-20,0.92,66,,
,102,DIMETHYLAMINE SOLUTION 60%,124-40-3,Y,,,,0.81 (60% Sol.),COMPLETE,7,-92,,-34,,
,103,DIMETHYLAMINE SOLUTION (>45% TO 55%),124-40-3,Y,,,,0.89 (40% Sol.),COMPLETE,54,-37,,-18,,
,104,DIMETHYLAMINE SOLUTION (45% OR LESS),124-40-3,Y,,,,0.89 (40% Sol.),COMPLETE,54,-37,,-18,,
,105,DIMETHYLAMINOETHANOL,108-01-0,Y,,,,0.9,COMPLETE,134,-40,,31,,
,106,DIMETHYLFORMAMIDE,68-12-2,Y,,,,0.95,COMPLETE,153,-61,,57,,
,107,DIMETHYLGLUTARATE,1119-40-0,Y,,,,1.09,4.3,93,-37,2.5,103,,
,108,"2,2-DIMETHYLOCTANOIC ACID",29662-90-6,Y,,,,0.92,SLIGHT,254,-60,12.9,102,,
,109,DIMETHYLPOLYSILOXANE,9016-00-6,Y,,,,0.98,13,149,-34,100 (@25°C),,,
,110,DINITROTOLUENES,25321-14-6,X,,,,1.52,0.03,300,70,,155,,
,111,DI-N-PROPYLAMINE,142-84-7,Y,B,,,0.74,5.1,105,-63,,3,YES,
,112,"1,4-DIOXANE",123-91-1,Y,,,,1.04,COMPLETE,101,12,,11,YES,
,113,DIPENTENE,138-86-3,Y,A,L2,A,0.8,INSOLUBLE,176,-96,0.9,42,,
,114,DIPHENYL ETHER,101-84-8,X,,,,1.07 (@25°C),INSOLUBLE,258,27,3.38,112,,
,115,DIPROPYLENE GLYCOL,25265-71-8,Z,,,,1.022,COMPLETE,232,-40,100 (Approx.),121,,
,116,DIPROPYLENE GLYCOL MONOMETHYL ETHER,34590-94-8,Z,,,,0.95,COMPLETE,184,-83,4.3,75,,
,117,1-DODECANOL,112-53-8,Y,A,L2,A,0.8267,INSOLUBLE,260,24,1.55,127,,
,118,DODECYLPHENOL,27193-86-8,X,,,,0.9,INSOLUBLE,154,,,310,,
,119,EPICHLOROHYDRIN,106-89-8,Y,B,,,1.18,6,115,-57,1.1,26,,
,120,ETHANOL (FOOD GRADE),64-17-5,Z,A,L1,A,0.79,COMPLETE,78,-114,1.2,12,,
,121,ETHANOL INDUSTRIAL GRADE,64-17-5,Z,A,L2,A,0.79,COMPLETE,78,-114,1.2,12,,
,122,ETHANOLAMINE,141-43-5,Y,B,,,1.02,COMPLETE,170,10,,85,,
,123,2-ETHOXYETHYL ACETATE,111-15-9,Y,,,,0.97,23,156,-62,1.3,49,YES,
,124,ETHYL TERT-BUTYL ETHER,637-92-3,Y,A,,A,0.74,1.64,73.1,-94,0.4,-19,,
,125,2-ETHYL-3-PROPYLACROLEIN,645-62-5,Y,,,,0.9,INSOLUBLE,175,,1.28,68,,
,126,ETHYL ACETATE,141-78-6,Z,A,L2,A,0.9,9,77,-84,0.45 (Approx.),-4,,
,127,ETHYL ACETOACETATE,141-97-9,Z,,,,1.03,12,181,-43,1.72,57,,
,128,ETHYL ACRYLATE,140-88-5,Y,B,,,0.923,2,99,-71,0.54 (@25°C),8,YES,
,129,ETHYLAMINE,75-04-7,Y,,,,0.69,COMPLETE,17,-82,,-37,,
,130,ETHYLAMINE SOLUTION (72% OR LESS),75-04-7,Y,,,,0.8,COMPLETE,39,-74,,-17,,
,131,ETHYL AMYL KETONE,,,Y,,,,0.82,0.3,157,-57,0.8,43,NO
,132,ETHYLBENZENE,100-41-4,Y,,,,0.86,INSOLUBLE,136,-95,0.671,23,YES,
,133,ETHYLENE CARBONATE,96-49-1,Z,,,,1.33 (Approx.),21.4,244,36,,143,,
,134,ETHYLENE CHLOROHYDRIN,0107-07-03,Y,,,,1.2,COMPLETE,129,-68,3.43,55,,
,135,ETHYLENE CYANOHYDRIN (21% WATER),109-78-4,Y,,,,1.05,COMPLETE,228,-46,,129,,
,136,ETHYLENEDIAMINE,107-15-3,Y,B,,,0.897,COMPLETE,117,11,1.6,38,,
,137,ETHYLENE DIBROMIDE,106-93-4,Y,,,,2.2,0.4,131,10,1.7,,,
,138,ETHYLENE DICHLORIDE,0107-06-02,Y,B,,,1.253,0.86,84,-35,0.84,13,YES,
,139,ETHYLENE GLYCOL,107-21-1,Z,A,L2,A,1.11,COMPLETE,197,-13,16.1,111,,
,140,ETHYLENEGLYCOLDIACETATE,111-55-7,Y,,,,1.1,16,190,-31,2.9,88,,
,141,ETHYLENEGLYCOLMONOBUTYLETHER,111-76-2,Y,,,,0.9,COMPLETE,171,-70,6.2,67,,
,142,ETHYLENEGLYCOLMONOBUTYLETHERACETATE,0112-07-02,Y,,,,0.94,1.7,192,-63,1.8,71,,
,143,ETHYLENEGLYCOLMONOETHYLETHER,110-80-5,Y,,,,0.93,COMPLETE,135,-100,2 (Approx.),40,,
,144,ETHYLENEGLYCOLMONOPHENYLETHER,122-99-6,Z,,,,1.1,2.6,237,11,,110,,
,145,2-ETHYLHEXANOICACID,149-57-5,Y,,,,0.908,0.2,228,-59,7.7,124,,
,146,2-ETHYLHEXANOL,104-76-7,Y,A,L2,A,0.83,0.01,185,-76,8.97,60,,
,147,2-ETHYLHEXYLACRYLATE,0103-11-7,Y,B,,,0.88,INSOLUBLE,213,-90,1.8,82,YES,
,148,2-ETHYLHEXYLAMINE-1,104-75-6,Y,,,,0.79,0.25,169,-76,1.11,50,,
,149,ETHYLMETHACRYLATE,97-63-2,Y,,,,0.91,0.54,117,-75,0.87,20,YES,
,150,ETHYLTOLUENES (MIXED ISOMERS),25550-14-5,Y,,,,0.90 (Approx.),INSOLUBLE,160,-17,,36,,
[151] EXXALS,,,,,,,,,,,,,,,
,151,EXXAL 10 ALCOHOL,68526-85-2,Y,,,,0.838,INSOLUBLE,216,-65,9,94,,
,151,EXXAL 11 ALCOHOL,68551-08-06,X,,,,0.841,NEGLIGIBLE,229,-50,24,100,,
,151,EXXAL 12 ALCOHOL,68526-86-3,Y,,,,0.844,INSOLUBLE,240,-65,12 (@40°C),106,,
,151,EXXAL 13 ALCOHOL,68526-86-3,Y,,,,0.85,INSOLUBLE,254,-40,16.6,122,,
,151,EXXAL 8 ALCOHOL,68526-83-0,Y,,,,0.832,INSOLUBLE,186,-54,13,76,,
,151,EXXAL L9 ALCOHOL,68526-86-3,Y,,,,0.85,INSOLUBLE,204,-40,47,80,,
[152] EXXSOLS,,,,,,,,,,,,,,,
,152,EXXSOL D 100,,A1,,,,0.818 (@15°C),NEGLIGIBLE,236,-33,2.87,104,YES,
,152,EXXSOL D 100 ULA,,A1,,,,0.82,NEGLIGIBLE,236,-33,2.87,103,YES,
,152,EXXSOL D 110,,A1,,,,0.82,INSOLUBLE,239,,3.54,106,YES,
,152,EXXSOL D 120,,A1,,,,0.83 (@15°C),NEGLIGIBLE,254,-21,4.4,115,YES,
,152,EXXSOL D 140,,A1,,,,0.83 (@15°C),NEGLIGIBLE,279,-11,6.14,137,YES,
,152,EXXSOL D 180/200 SP,,Y,,,,0.79 (@15°C),INSOLUBLE,190,,,63,YES,
,152,EXXSOL D 30,,A1,,,,0.76 (@15°C),NEGLIGIBLE,136,-90,0.83,29,YES,
,152,EXXSOL D 40,,A1,,,,0.78 (@15°C),NEGLIGIBLE,154,-72,1.05,41,YES,
,152,EXXSOL D 60,,A1,,,,0.79 (@15°C),NEGLIGIBLE,184,-54,1.34,65,YES,
,152,EXXSOL D 80,,A1,,,,0.80 (@15°C),NEGLIGIBLE,203,-48,1.84,79,YES,
,152,EXXSOL D 95,64742-47-8,Z,,,,0.808,INSOLUBLE,220,-20,2 (@25°C),88,YES,
,152,EXXSOL D130 FLUID,64742-46-7,Y,,,,0.824 (@15°C),INSOLUBLE,275,-6,5.68 (Approx.),129,YES,
,152,EXXSOL D220/230,,A1,,,,0.81 (@15°C),NEGLIGIBLE,220,-39,2.18,91,YES,
,152,EXXSOL D60(S),64742-48-9,Y,,,,0.776 (@15°C),INSOLUBLE,183,,,63,YES,
,152,EXXSOL DSP 100/140,,X,,,,0.738,INSOLUBLE,101,,0.54,0,YES,
,152,EXXSOL DSP 145/160,,A1,,,,0.761,NEGLIGIBLE,147,-20,0.83,33,YES,
,152,EXXSOL DSP 60/95 S,,A1,,,,0.70 (@15°C),NEGLIGIBLE,66,-20,0.35,-20,YES,
[153] FATTY ACID METHYL ESTERS,,,,,,,,,,,,,,,
,153,COCONUT OIL FATTY ACID METHYL ESTER,61788-59-8,Y,A,L2,A,0.85 (@40°C),INSOLUBLE,150,17,LOW,120,,
,153,PALM OIL FATTY ACID METHYL ESTER,67784-80-9,Y,A,L2,A,0.88,INSOLUBLE,200,17.5,4.5,100,,
,153,RAPE SEED OIL FATTY ACID METHYL ESTERS,73891-99-3,Y,A,L2,A,0.88,INSOLUBLE,330,6,4.7 (@40°C),91,,
,153,SOYBEAN OIL FATTY ACID METHYL ESTER,67784-80-9,Y,A,L2,A,0.888,INSOLUBLE,200,1,6.56,120,,
,153,USED COOKING OIL METHYL ESTERS,67762-38-3,Y,B,,,0.8881,INSOLUBLE,354,6,40 (@40°C),173,,
,154,"FATTY ACIDS, C12+",0143-07-07,Y,A,L2,A,0.84 (@60°C),INSOLUBLE,290,44,SOLID,160,,
,155,FISH OIL,8016-13-5,Y,A,L1,A,0.93,INSOLUBLE,250,15,60,216,,
,156,FORMALDEHYDE SOLUTIONS (45% OR LESS),50-00-0,Y,,,,1.135 (Approx.),COMPLETE,96,-15,,56,,
,157,FORMAMIDE,75-12-7,Y,,,,1.13,COMPLETE,210,2.5,3.3,154,,
,158,"FORMIC ACID MIXTURE (≤18% PROPIONIC ACID, ≤25% SODIUM FORMATE)",64-18-6,Z,,,,1.25,COMPLETE,114,-25,14,61,,
,159,FORMIC ACID (85% OR LESS),64-18-6,Y,A,L2,A,1.22,COMPLETE,101,8,1.804,69,,
,160,FUEL ETHANOL,,X,,,,0.76 (@15°C),PARTLY SOLUBLE,25,,1,0,YES,
,161,FUEL OIL NO. 4,68476-31-3,A1,,,,0.9,INSOLUBLE,177,-10,24 (Max @40°C),60,,
,162,FUEL OIL NO. 5,68476-33-5,A1,B,,,0.887 (Lower Limit),INSOLUBLE,188,-9.4,80 (@40°C),60,,
,163,FUEL OIL NO. 6,68476-33-5,A1,B,,,1,INSOLUBLE,260,,380 (@50°C),65,YES,
,164,FURFURAL,98-01-1,Y,,,,1.16,8.3,162,-37,1.49,60,,
,165,FURFURYL ALCOHOL,98-00-0,Y,B,,,1.13,COMPLETE,171,-31,4.55,75,,
,166,GASOIL,68476-34-6,A1,,,,0.86,INSOLUBLE,200,,5 (@40°C),65,YES,
,167,GASOIL CUTTER,31393-98-3,A1,,,,0.95 (APPROX.),SLIGHT,,,10,40,,
,168,GASOIL DYED,68334-30-5,A1,,,,0.85 (APPROX.),INSOLUBLE,180,-10,2.5 (@40°C),55,YES,
,169,GASOLINE (LEADED),8006-61-9,A1,B,,,0.75 (APPROX.),INSOLUBLE,45,-20,0.652,-20,YES,
,170,GASOLINE (UNLEADED),86290-81-5,A1,,,,0.75 (APPROX.),INSOLUBLE,45,-20,0.652,-20,YES,
,171,GASOLINE ULS (UNLEADED),8006-61-9,A1,,,,0.75 (APPROX.),INSOLUBLE,45,-20,0.652,-20,YES,
,172,GLUCOSE,50-99-7,OS,A,L1,,UNKNOWN,COMPLETE,,,1200 (@65°C),,,
,173,GLUTARALDEHYDE SOLUTION 50%,111-30-8,Y,B,,,1.1,COMPLETE,88,-25,5 (APPROX.),56,,
,174,GLYCERINE TECHNICAL GRADE,56-81-5,Z,A,L1,A,1.262,COMPLETE,290,18,107,160,,
,175,GLYCEROL MONOOLEATE,25496-72-4,Y,,,,0.94,INSOLUBLE,239,24,92 (@38°C),239,,
,176,GROUNDNUT OIL,8002-03-07,Y,A,L1,A,0.92,INSOLUBLE,285,0,60,282,,
