,COMMODITIES,SpGr ,Temp,Correction factor,Ship Type,Tank Type,Pollution cat,Compliance,USCG compat,Boiling point,Melting point,Flash point,Heat adjacent,Heat req V,Heat req D,Colour,Solubility,UnNr,
Alfol alcohol blend 1618,,.840,15,.00071,3,2g,B,Y,20,324,46,179,Y,68,,WW,SLI,2582,N2 not required. Color sensitive and may pick 
,,,,,,,,,,,,,,,,,,,up from rust. Slightly soluble in water. Use 
,,,,,,,,,,,,,,,,,,,Stolt A or B as required. IMO shipping name.:
,,,,,,,,,,,,,,,,,,,Fatty Alcohols (C 12-C 20)
Alfol alcohol blend 610,,.830,15,.00071,3, , ,Y,20,179, ,78,38,N,,WW,SLI,2582,N2  required. Color sensitive and may pick 
,,,,,,,,,,,,,,,,,,,up from rust. Slightly soluble in water. Use 
,,,,,,,,,,,,,,,,,,,Stolt A or B as required. Mixture of Hexyl and
,,,,,,,,,,,,,,,,,,,Decyl alcohols. Check for poll cat. 
Alfol alcohol blend 810,,.830,15,.00071,3,2g, ,Y,20,204,-14,87,38,N,,WW,SLI,2582,N2  required. Color sensitive and may pick 
,,,,,,,,,,,,,,,,,,,up from rust. Slightly soluble in water. Use 
,,,,,,,,,,,,,,,,,,,Stolt A or B as required. Mixture of Octanol and
,,,,,,,,,,,,,,,,,,,Decyl alcohols. Check for poll cat. 
Alfol alcohol C-10,,.830,15,.00071,3,2g,B,N,20,227,7,104,49,24,,WW,SLI,2582,N2 not required. Color sensitive and may pick 
,,,,,,,,,,,,,,,,,,,up from rust. Slightly soluble in water. Use 
,,,,,,,,,,,,,,,,,,,Stolt A or B as required. IMO  name.:
,,,,,,,,,,,,,,,,,,,Dodecyl Alcohol
Alfol alcohol C-12,,.840,15,.00071,3,2g,B,Y,20,260,23,127,54,38,,WW,SLI,2582,N2 not required. Color sensitive and may pick 
,,,,,,,,,,,,,,,,,,,up from rust. Slightly soluble in water. Use 
,,,,,,,,,,,,,,,,,,,Stolt A or B as required. IMO name:
,,,,,,,,,,,,,,,,,,,Decyl Alcohol (All Isomer)
Alfol alcohol C-14,,.840,15,.00071,3, ,N,N,20,288,38,141,56,49,,WW,SLI,2582,N2 not required. Color sensitive and may pick 
,,,,,,,,,,,,,,,,,,,up from rust. Slightly soluble in water. Use 
,,,,,,,,,,,,,,,,,,,Stolt A or B as required. 
,,,,,,,,,,,,,,,,,,,IMO name: Alcohol C-14
Alfol alcohol C-16,,.840,15,.00071,3, ,N,N,20,316,46,160,71,54,,WW,SLI,2582,N2 not required. Color sensitive and may pick 
,,,,,,,,,,,,,,,,,,,up from rust. Slightly soluble in water. Use 
,,,,,,,,,,,,,,,,,,,Stolt A or B as required. 
,,,,,,,,,,,,,,,,,,,IMO name: Alcohol C-16
Alfol alcohol C-18,,.840,15,.00071,3, ,N,N,20,338,56,168,82,60,,WW,SLI,2582,N2 not required. Color sensitive and may pick 
,,,,,,,,,,,,,,,,,,,up from rust. Slightly soluble in water. Use 
,,,,,,,,,,,,,,,,,,,Stolt A or B as required. 
