,COMMODITIES,SpGr ,Temp,Correction factor,Ship Type,Tank Type,Pollution cat,Compliance,USCG compat,Boiling point,Melting point,Flash point,Heat adjacent,Heat req V,Heat req D,Colour,Solubility,UnNr,
,"Acetic acid, Isobutyl ester",,,,,,,,,,,,,,,,,,for clorides and hydrocarbons. Cold wash.
,Methyl-2-Propyl-1 Acetate,,,,,,,,,,,,,,,,,,
,Methylpropylethanoate-b,,,,,,,,,,,,,,,,,,
Isobutyl Acrylate,,.880,25,.00094,2,2g,D,Y,14,61,,30,N,N,N,ww,5,2527,Inhibited Cold wash followed by hot and steam
Isobutyl alcohol,,.800,15,.00076,3,,N,N,20,107,,38,38,N,N,ww,8.5,1212,N2 may be required. Celanese requires wall wash
,Isobutanol,,,,,,,,,,,,,,,,,,for  clorides and hydrocarbons. Eject and ventilate.
,Isopropyl carbinol,,,,,,,,,,,,,,,,,,or cold wash. Included in Marpol Annex 2 App 3
,Methyl-2 Propanol-1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Isobutyl ether,,.720,,,,,,N,41,67,,-18,N,N,N,ww,,,More info required This name probably incomplete
Isobutyl Isobutyrate,,.855,68,,3,2g,B,Y,34,149,,43,38,N,N,ww,N,,"ww staandard N2 blanket required, Cold wash"
,IBIB,,,,,,,,,,,,,,,,,,
Isobutyl methacrylate monomer,,.880,,,3,2g,D,Y,14,154,,49,N,N,N,ww,p.ly,,"Inhibited. Avoid adjacent heat and hot wash, steam"
,Butyl Methacrylate,,,,,,,,,,,,,,,,,,on adjaacent bulkheads. Cold wash followed by hot
,,,,,,,,,,,,,,,,,,,and steam. Correct IMO name: Butyl Methacrylate
Isobutyl Nitrile,,.770,,,,,,,,103,,28,N,N,N,ww,,,More info required.Unable to identify this product
Isobutyraldehyde,,.790,,,3,2g,C,Y,19,64,-68,.24,N,N,N,clear,p-ly,2045,N2 blanket required. Cold wash Avoid heat adjacent
,Isobutyl Aldehyde,,,,,,,,,,,,,,,,,,B.P. 64C
Isodecanol,,.840,,,3,2g,B,Y,20,220,,104,38,N,N,ww,N,,Require good coating. N2 may be required. Avoid
,Fatty alcohol  C-10,,,,,,,,,,,,,,,,,,heat adjacent as may have color problem. Clean
,Isodecanol C-10,,,,,,,,,,,,,,,,,,"with warm water, steam. Corect IMO name Decyl"
,Isodecyl alcohol,,,,,,,,,,,,,,,,,,Alcohol all (isomerer)
Isododecane,,.750,,,3,,N,N,31,149,,43,38,Y,Y,ww,N,,ww standard. Normal paraffin af high purity. Clean
,Dodecane C-12,,,,,,,,,,,,,,,,,,"with hot water, ventilate. Marpol appendix 3"
Isononanoic acid,,.910,,,3,,D,N,4,254,12,114,Y,Y,Y,ww,,,ww standard Easy cargo Clean with warm water
,Pelargonic acid,,,,,,,,,,,,,,,or,,,USCG compatibility #4
,,,,,,,,,,,,,,,,yellow,,,
Isooctane,,.696,15,,3,,D,N,31,99,-107,-12,N,N,N,ww,N,1262,"Easy product, handle as low flash, water white"
,"Trimethylpentane-2,2,4",,,,,,,,,,,,,,,,,,chemical. Check for N2 requirements. Flush with
,,,,,,,,,,,,,,,,,,,"ambient temp water, ventilate IMO name is Octane"
Isooctyl alcohol,,.830,15,.00086,3,2g,C,N,20,185,,82,49,N,N,clear,Y,,Acid wash may be required dependent on last cgo.
,Alfanol,,,,,,,,,,,,,,,,,,"Caustic Potash 50% can be stowed adjacent, "
,Isooctanol,,,,,,,,,,,,,,,,,,"excemtion from guide. Clean with warm water,"
,Oxo Alcohol,,,,,,,,,,,,,,,,,,ventilate. IMO name is Octanol (All Isomerer)
,Linevol ,,,,,,,,,,,,,,,,,,
,Alcohol Plasticizer,,,,,,,,,,,,,,,,,,
Isopar C,,.696,,,3,,B,N,33,103,,4,Y,N,N,ww,N,,Odorless solvents. Thinners Good clean tank
,,,,,,,,,,,,,,,,,,,required. Sensative cargo. Odor senaative.
,,,,,,,,,,,,,,,,,,,Cold wash. Not yet assessed for pollution.
Isopar E,,.720,,,3,,B,N,33,116,,7,,N,N,ww,N,,Odorless solvents. Thinners Good clean tank
,,,,,,,,,,,,,,,,,,,required. Sensative cargo. Odor senaative.
,,,,,,,,,,,,,,,,,,,Cold wash. Not yet assessed for pollution.
Isopar G,,.750,,,3,,B,N,33,160,,40,38,N,N,ww,N,,Odorless solvents. Thinners Good clean tank
,,,,,,,,,,,,,,,,,,,required. Sensative cargo. Odor senaative.
,,,,,,,,,,,,,,,,,,,Cold wash. Not yet assessed for pollution.
Isopar H,,.750,,,3,,B,N,33,177,,49,38,N,N,ww,N,,Odorless solvents. Thinners Good clean tank
,,,,,,,,,,,,,,,,,,,required. Sensative cargo. Odor senaative.
,,,,,,,,,,,,,,,,,,,Cold wash. Not yet assessed for pollution.
Isopar K,,.760,,,3,,B,N,33,185,,52,38,N,N,ww,N,,Odorless solvents. Thinners Good clean tank
,,,,,,,,,,,,,,,,,,,required. Sensative cargo. Odor senaative.
,,,,,,,,,,,,,,,,,,,Cold wash. Not yet assessed for pollution.
Isopar L,,.750,,,3,,B,N,33,193,,62,38,N,N,ww,N,,Odorless solvents. Thinners Good clean tank
,,,,,,,,,,,,,,,,,,,required. Sensative cargo. Odor senaative.
,,,,,,,,,,,,,,,,,,,Cold wash. Not yet assessed for pollution.
Isopar M,,.760,,,3,,B,N,33,177,,62,38,N,N,ww,N,,Odorless solvents. Thinners Good clean tank
,,,,,,,,,,,,,,,,,,,required. Sensative cargo. Odor senaative.
,,,,,,,,,,,,,,,,,,,Cold wash. Not yet assessed for pollution.
Isopentane,,.619,20,,3,2g,D,N,31,28,,21,N,N,N,ww,N,,"Low boiling point, cooling is not required, Higly"
,Methyl-2 Butane,,,,,,,,,,,,,,,,,,flammable. Cold wash. Although this product is non-
,Ethyl Dimethyl Methane,,,,,,,,,,,,,,,,,,"compliance, and cooling not required by regulations"
,,,,,,,,,,,,,,,,,,,problem could arise in hot climate. Consult ops.
Isophorone,,.922,20,.00650,3,2g,D,N,18,215,-8,96,38,N,N,ww,negl,,Toxic. ww standard. Color sensative N2 often req.
,"Trimethyl-2 Cyclohexene-1-one-3,5,5",,,,,,,,,,,,,,,,,,"Clean with ambient water, ventilate."
Isophorone Diamine,,.920,,,3,2g,D,Y,7,101,10,110,Y,Y,Y,ww,Y,2289,"Check heating instructions. ww standaard, no wall"
,Ipd,,,,,,,,,,,,,,,,,,"wash. Clean with  warm water, ventilate. No yet"
,,,,,,,,,,,,,,,,,,,assigned to any compliance # but should be amines
Isophorne Diisocyanate,,1.038,20,,3,2g,B,Y,12,158,-60,155,N,N,N,ww to,,2290,Handle as TDI. Heat my be required. Contact Gen
,,,,,,,,,,,,,,,,yellow,,,ops prior to booking.
"Isophorne 50 and 1, Pm-5464  (UCC)",,.860,20,,3,2g,D,N,18,114,-8,35,Y,N,N,clear,negl,,This UCC product is a mixture of 46.5 % Isophorone
,,,,,,,,,,,,,,,,,,,and 53.5% MIBK. Not classified for carriage. but 
,,,,,,,,,,,,,,,,,,,should be non compliance and compatibility # 18.
,,,,,,,,,,,,,,,,,,,"Not found in resistancy lists, but should go same as"
,,,,,,,,,,,,,,,,,,,Isophorone. have no record of carriage.
,,,,,,,,,,,,,,,,,,,"Clean with warm water, ventilate"
Isophrene (Inhibited),,.680,20,.00150,3,2g,C,Y,30,34,,-48,N,N,N,ww,N,1218,"Inhibited. Low boiling point, cooling required."
,"Methyl-3-Butadiene-1,3",,,,,,,,,,,,,,,,,,"ww Standard. Flush with water, ventilate."
,"Methyl-2-Butadiene-1,3",,,,,,,,,,,,,,,,,,
Isopropanolamine,,.960,,,3,2g,C,Y,8,160,1,76,,,,cless,Y,,N2 normally required. Heat may be required in
,Monoisopropanolamine,,,,,,,,,,,,,,,,,,"cold climate. Heat by adjacent cargo,"
,Amino-1-propanol-2,,,,,,,,,,,,,,,,,,no heating coils. Warm wash.
,Hydroxypropylamine-2,,,,,,,,,,,,,,,,,,
,Mipa,,,,,,,,,,,,,,,,,,
Isopropyl acetate,,.870,,.00101,3,2g,,N,34,89,-73,4,38,N,N,ww,1,1220,N2 required for slack tks. Avoid heat
,"Acetic acid, isopropyl ester",,,,,,,,,,,,,,,,,,adjacent. Cold wash. Marpol annex 3.
,Propyl acetate-2,,,,,,,,,,,,,,,,,,
Isopropyl alcohol,,.790,20,,3,2g,N,N,20,82,,15,38,N,N,ww,Y,1219,ww standard. Acid wash may be required depend-
,IPA,,,,,,,,,,,,,,,,,,ing on last cargo. Exxon requires odor specifications
,Dimethyl carbinol,,,,,,,,,,,,,,,,,,Wall wash testing must be expected if oils as last 
,Isopropanol,,,,,,,,,,,,,,,,,,"cargo. Clean with warm water, ventilate. "
,Petrohol,,,,,,,,,,,,,,,,,,Marpol annex 3
,Propanol-2,,,,,,,,,,,,,,,,,,
,Propyl alcohol-sec,,,,,,,,,,,,,,,,,,
,Rubbing alcohol,,,,,,,,,,,,,,,,,,
Isopropyl ether,,.720,,.00102,3,2g,D,Y,41,66,,-18,N,N,N,c-less,N,1159,Inhibited. N2 purging and  blanket required. DO not
,Diisopropyl ether,,,,,,,,,,,,,,,ww,,,stow heated cargoes adjacent. Clean with cold 
,Diisopropyl oxide,,,,,,,,,,,,,,,,,,"water, ventilate. US barges: Subchapter 0, intertion"
,Isopropoxy Propane-2,,,,,,,,,,,,,,,,,,and inhibition required.
Isopropylamine,,.690,15,.00110,2,2g,C,Y,7,32,-95,-26,N,N,N,ww,Y,1221,Cooling required (B.P. 34C) Get full specifications.
,Aminopropane-2,,,,,,,,,,,,,,,,,,"Clean with ambient water, ventilate."
,Monoisopropylamine,,,,,,,,,,,,,,,,,,
Isopropylamine 50% solution,,.870,,,2,2g,C,Y,7,338,-6,3,N,N,N,ww,Y,1221,Must have spec. Cooling may be required.
,,,,,,,,,,,,,,,,,,,"Clean with ambient water, ventilate"
,,,,,,,,,,,,,,,,,,,Steam if odor problem.
Isovaleraldehyde,,.785,20,,3,2g,C,Y,19,92,-50,13,N,N,N,c-less,sli,2058,IMO requires inert atnosphere for this product. N2
,Isovaleral,,,,,,,,,,,,,,,,,,"required for purging, blanketing and purging during "
,Isovaleric Aldehyde,,,,,,,,,,,,,,,,,,"discharge. Clean with ambient water, ventilate."
,Methylbutyraldehyde-3,,,,,,,,,,,,,,,,,,
,Methyl Butanal-3,,,,,,,,,,,,,,,,,,
Jet Fuel JP-1,,.810,,,3,,N,N,33,200,,38,38,N,N,clear,,,Check S.G. etc. as varies. MSTS(US Govt) have
,,,,,,,,,,,,,,,,to,,,"some restrictions, re: mild steel and last cargo."
,,,,,,,,,,,,,,,,ww,,,"Good, clean tank required. Clean with ambient water"
,,,,,,,,,,,,,,,,,,,Ventilate.
Jet Fuel JP-3,,.760,,,3,,N,N,33,149,,38,38,N,M,clear,,,Check S.G. etc. as varies. MSTS(US Govt) have
,,,,,,,,,,,,,,,,to,,,"some restrictions, re: mild steel and last cargo."
,,,,,,,,,,,,,,,,ww,,,"Good, clean tank required. Clean with ambient water"
,,,,,,,,,,,,,,,,,,,Ventilate.
Jet Fuel JP-4,,.780,,,3,,N,N,33,149,,38,38,N,N,clear,,,Check S.G. etc. as varies. MSTS(US Govt) have
,,,,,,,,,,,,,,,,to,,,"some restrictions, re: mild steel and last cargo."
,,,,,,,,,,,,,,,,ww,,,"Good, clean tank required. Clean with ambient water"
,,,,,,,,,,,,,,,,,,,Ventilate.
Jet Fuel JP-5,,.800,,,3,,N,N,33,149,,38,38,N,N,clear,,,Check S.G. etc. as varies. MSTS(US Govt) have
,,,,,,,,,,,,,,,,to,,,"some restrictions, re: mild steel and last cargo."
,,,,,,,,,,,,,,,,ww,,,"Good, clean tank required. Clean with ambient water"
,,,,,,,,,,,,,,,,,,,Ventilate.
Jetfuel A,,.807,15,.00075,3,,N,N,33,154,,49,35,N,N,clear,insol,,Handle and carry as a normal jetfuel
,Jet Fuel,,,,,,,,,,,,,,,,,,Clean and dry tanks required.
,Dual Purpose Kerosine,,,,,,,,,,,,,,,,,,
,Kerosine,,,,,,,,,,,,,,,,,,
Ka-oil,,.948,15,,3,2g,,Y,18,,-15,53,N,N,N,clear,N,,Kaoil is a mix of 40% Cyclohexane and 60% Cycloh-
,,,,,,,,,,,,,,,,,,,exanone. It should be carried and handled like Cyclo-
,Cyclohexanone/Cyclohexanol Mixture,,,,,,,,,,,,,,,,,,"hexane. Not classified as such, but USCG advises"
,,,,,,,,,,,,,,,,,,,that it may be carried as Cyclohexanone USCG #18
,,,,,,,,,,,,,,,,,,,"Clean with warm water, ventilate. Not class in Marpol"
Kaurit Glue,,1.300,,,,,,,,,,,30,20,20,off,Y,,More info. required. May required external
,Formal 55,,,,,,,,,,,,,,,white,,,"heating and cooling. Glue used for woodwork, dries."
Kerosene,,.800,,,3,,N,N,33,210,,38,38,N,N,clear,sli,,Check grade. Finer grades requiere good coated
,Fuel Oil #1,,,,,,,,,,,,,,,,,,"tanks. Clean with warm water, ventilate."
,Lamp oil,,,,,,,,,,,,,,,,,,"Pollution category; Oils, Annex I."
,Illuminating oil,,,,,,,,,,,,,,,,,,
,Kerosine,,,,,,,,,,,,,,,,,,
,Range oil,,,,,,,,,,,,,,,,,,
Kerosine Inferior,,.800,,,3,,N,N,33,149,,38,38,N,N,near ww,N,,Handle as normal Kerosene: Clean with warm water
,Unfinished Kerosene,,,,,,,,,,,,,,,,,,"ventilate. Pollution category: Oils, Annex I."
Latic Acid,,1.200,,,3,2g,D,N,,122,18,,,,,clear,Y,,Check grade and heating instructions. Should be
,Hydroxypropanoic acid-2-a,,,,,,,,,,,,,,,,,,no problem. USCG compatibility # not yet assigned.
,Hydroxypropionic acid,,,,,,,,,,,,,,,,,,
,Milk acid,,,,,,,,,,,,,,,,,,
,Recemic lactic acid,,,,,,,,,,,,,,,,,,
Laktane (EXXON),,.770,,,3,,,N,33,104,,1,N,N,N,ww,N,,Handle as white spirit. Proposed pollution cat. is B.
,Paint Thinner,,,,,,,,,,,,,,,,,,"but could change. Clean with warm water, vent."
Lard Edible,,.890,,,3,,D,N,34,204,-19,204,Y,40,52,wh-,N,,Get heating instructions and follow closley.(Hog fat)
,,,,,,,,,,,,,,,,pale,,,"Clean with warm water, Use Stolt C for final cleaning."
Latex Natural,,.930,,,3,,D,N,40,204,-4,,N,N,N,white,Y,,Check SNI for complete handling and cleaning instr.
,Natural Latex,,,,,,,,,,,,,,,,,,"If  ammonia stablized, ammonia content not to exeed"
,,,,,,,,,,,,,,,,,,,2% when stowed in coated tank. Max heat adjacent
,,,,,,,,,,,,,,,,,,,"37,8C. Do not stow camkote tanks whitout having"
,,,,,,,,,,,,,,,,,,,approval each and every time.
Latex Synthetic,,,,,,,,,,,,,,,,,,,Wet tank surface with fresh water prior to loading.
,Latex Synthetic,1.057,,,3,,D,N,43,,,,N,N,N,milky,,Y,Cold fresh water soon after discharge. Use Stolt C
,Latex Synthetic Bayer,,,,3,,D,N,43,204,-7,,,10,10,white,,,and/or LAC for spots or film. Never let tank dry after
,Latex Synthetic D-699,1.010,,,3,,D,N,43,204,,,,,,white,Y,,"Discharge. If slow discharge, apply live steam"
,Latex Synthetic DL620,1.000,,,3,,D,N,43,204,,,38,4,4,white,,,(carefully not to heat ) to tank - if recivers accept.
,Latex Synthetic DL892,,,,3,,D,N,43,204,-10,,,,,,,,Do not stow camkote tanks whitout prior approval
,Latex Synthetic 39/41%,1.010,,,3,,D,N,43,204,,,,,,white,Y,,from Camrex.
,Latex Synthetic 44/50%,,,,3,,D,N,43,204,-7,,,,,,,,
,Latex Synthetic 50%,.970,,,3,,D,N,43,204,,,N,N,N,white,p-ly,,
,Latex Synthetic 5356,.980,,,3,,D,N,43,,,,N,N,N,,p-ly,,
Lauryl alcohol,,.830,,,3,2g,B,Y,20,259,24,100,Y,32,32,ww,N,,handle as Coco Fatty Alcohol. Get heating inst-
,Dodecanol,,,,,,,,,,,,,,,,,,ructions and follow closely. Correct IMO name is
,C-12,,,,,,,,,,,,,,,,,,"Dodecyl Alcohol. Clean with hot water, Stolt C if nec."
,Coco Fatty Alcohol,,,,,,,,,,,,,,,,,,
,Dodecyl Alcohol,,,,,,,,,,,,,,,,,,
Lauryl mercapton,,.850,15,,,,,,,,-7,128,38,Y,Y,ww,N,,"More info required, has not been classified for"
,Dodecanethiol-1 ,,,,,,,,,,,,,,,,,,bulkshipment. toxic.
,Dodecyl Mercapton,,,,,,,,,,,,,,,,,,
Lignin liquor 55/75%,,1.270,21,,3,,N,N,43,,,,49,27,32,drk,Y,,"Check ph and get spec. Do not stow zinc, other"
,,,,,,,,,,,,,,,,,,,coatings should be ok.Correct name is: Calsium
,,,,,,,,,,,,,,,,,,,"lignosulfonate solution. Clean with warm water, vent."
,,,,,,,,,,,,,,,,,,,Marpol appendix 3
Ligin Sulfonate,,1.200,,,3,,N,N,43,,,,49,32,38,drk,Y,,Same as Lignin Liquor. Several grades. handling
,,,,,,,,,,,,,,,,,,,etc. see Lignin Liquor. Marpol appendix 3.
,,,,,,,,,,,,,,,,,,,
Lime Slaked,,1.100,,,,,D,,,,,,Y,,,grey,,,More info required. Has not been classed for bulk
,Lime Hydrated,,,,,,,,,,,,,,,ww,,,
,Calcium Hydroxide,,,,,,,,,,,,,,,,,,
Linseed oil,,.930,,.00068,3,2g,D,N,34,-316,-20,204,43,N,N,yellow,N,,Drying oils. check grade. Avoid heat adjacent.
,Flaxeed oil,,,,,,,,,,,,,,,lt brn,,,Wash tanks immediatley after discharge with 
,Linseedoil Refined,,,,,,,,,,,,,,,,,,ambient  temp water. Use Stolt LAC for final cleaning
,Linseed oil Refined,,,,,,,,,,,,,,,,,,and dried spots.
,Linseedoil,,,,,,,,,,,,,,,,,,
Lorol special (Henkel),,.830,25,.00071,3,2g,D,Y,20,,,275,35,28,30,c-less,negl,,Fatty Alcohol. N2 blanket required
,,,,,,,,,,,,,,,,,,,Get heating instructions. Compliance cargo 
,Fatty Alcohol C12/C14  (Henkel),,,,,,,,,,,,,,,,,,because of pollution hazards
,,,,,,,,,,,,,,,,,,,
Low oil Saci Feed,,1.020,15,,,,,,,320,,40,Y,N,N,amber,negl,,"Not yet classified, but should be non compliance."
,,,,,,,,,,,,,,,,,,,"Not found in any resistancy lists, but should be easy"
,,,,,,,,,,,,,,,,,,,product. To be soure check for heating. Clean with
,,,,,,,,,,,,,,,,,,,"warm water, use Stolt A or B for final cleaning."
LUBE ADDITIVES,,,,,,,,,,,,,,,,,,,"Lube Additives vary greatly. Get full specs,"
,Amoco 198,,,,,,,,,,,,,,,,,,"like S.G., viscosity, heating, N2 req. , etc. Most "
,Amoco 6850A,,,,,,,,,,,,,,,,,,Lub adds are listed unde Group 33 (USCG Comp)
,Amoco 7806,,,,,,,,,,,,,,,,,,but there are exceptions - check. Exercixe care
,Amoco 9220,,,,,,,,,,,,,,,,,,when stowing new prod. in coated space.
,Amoco 9231,,,,,,,,,,,,,,,,,,Get heating instructions. Cleaning normally
,Amoco 9243M,,,,,,,,,,,,,,,,,,"hot wash followed by Stolt A or B, but some"
,Amoco 9250,,,,,,,,,,,,,,,,,,require cold water first or spray down with MDO.
,Calcium Sulf oil,1.150,,,3,,D,,33,,,,Y,,170,d.red,,,
,Chevron Oloa 1200,.990,,,,,,N,33,,,,Y,,160,blk,,,
,Chevron Oloa 1200B,,,,,,,,,,,,,,,,,,
,Chevron Oloa 146,.970,,,,,,N,33,,,,Y,,160,reddish,,,
,Chevron Oloa 1510T,,,,,,,,,,,,,,,,,,
,Chevron Oloa 1709D,.980,,,,,,N ,33,,,,Y,,145,,,,
,Chevron Oloa 1714M,,,,,,,N,33,,,,Y,,125,,,,
,Chevron Oloa 1714N,.990,,,,,,N,33,,,,Y,,140,,,,
,Chevron Oloa 1763A,.970,,,,,,N,33,,,,Y,,140,d-red,,,
,Chevron Oloa 219,.960,,,,,,N,33,,,,Y,,180,blk,,,
,Chevron Oloa 219U,,,,,,,,,,,,,,,,,,
,Chevron Oloa 2194,,,,,,,,,,,,,,,,,,
,Chevron Oloa 2456N,.980,,,,,,N,33,,,,Y,,140,drk,,,
,Chevron Oloa 246B,.960,,,,,,N,33,,,,,,150,drk,,,
,Chevron Oloa 247B,1.150,,,,,,N,33,,,,Y,,170,orang,,,
,Chevron Oloa 247E,,,,,,,,,,,,,,,,,,
,Chevron Oloa 2470,,,,,,,N,33,,,,Y,,,,,,
,Chevron Oloa 2476,.990,,,,,,N,33,,,,Y,,160,drk,,,
,Chevron Oloa 249E,,,,,,,,,,,,,,,,,,
,Chevron Oloa 267,1.100,,,,,,N,33,,,,120,,N,light,,,
,Chevron Oloa 2716A,.960,,,,,,N,33,,,,Y,,150,d-red,,,
,Chevron Oloa 279E ,,,,,,,,,,,,,,,,,,
,Chevron Oloa 2852M,1.000,,,,,,N,33,,,,Y,,140,d-red,,,
,Chevron Oloa 2918N,.990,,,,,,N,33,,,,Y,,150,,,,
,Chevron Oloa 2939,,,,,,,,,,,,,,,,,,
,Chevron Oloa 3127,1.000,,,,,,N,33,,,,Y,,150,blk,,,
,Chevron Oloa 3149C,.970,,,,,,N,33,,,,Y,,160,red,,,
,Chevron Oloa 370,.990,,,,,,N,33,,,,Y,,160,blk,,,
,Chevron Oloa 373,.900,,,,,,N,33,,,,Y,,160,red,,,
,Chevron Oloa 374Q,,,,,,,,,,,,,,,,,,
,Chevron Oloa 592B,.980,,,,,,N,33,,,,Y,,150,orang,,,
,Chevron Oloa 594,.960,,,,,,N,33,,,,Y,,150,drk,,,
,Chevron Oloa 6004,.960,,,,,,N,33,,,,Y,,125,d-red,,,
,Chevron Oloa 8305,.940,,,,,,N,33,,,,Y,,135,,,,
,Chevron Oloa 8361N,,,,,,,,,,,,,,,,,,
,Chevron Oloa 857E,,,,,,,,,,,,,,,,,,
,Chevron Oloa 858B,,,,,,,,,,,,,,,,,,
,Chevron Oloa 8804,,,,,,,,,,,,,,,,,,
,Chevron Oloa 8809,,,,,,,,,,,,,,,,,,
,Chevron Ped 4669,.990,,,,,,N,33,,,,Y,,160,red,,,
,Chevron sulfonate oil,.980,,,,,,N,33,,,,Y,,160,red,,,
,Chevron 2939,,,,,,,,,,,,,,,,,,
,Cooper/Hitec E-2720,.980,,,,,,N,33,,,,Y,,120,brown,,,
,Cooper/Hitec E-611,1.137,15,.00059,3,,,N,33,,,,Y,63,74,,,,
,Cooper/Hitec E-614,.952,15,.00066,3,,,N,33,,,,Y,63,74,d.brn,,,
,Cooper/Hitec E-638,,,,3,,,N,33,,,,Y,,,,,,
,Cooper/Hitec E-644,.920,,,,,,N,33,,,,Y,,180,d.brn,,,
,Cooper/Hitec E-656,1.000,,,,,,N,33,,,,Y,N,N,tan,,,
,Cooper/Hitec E-686,.954,15,.00065,3,,,N,33,,,,Y,60,71,,,,
,Cooper/Hitec E-725,1.000,,,,,,N,33,,,,Y,,160,,,,
,Cooper/Hitec EA-11,1.000,,,,,,N,33,,,,Y,,140,brn,,,
,Cooper/Hitec L-74,1.100,,,,,N,N,33,,,,Y,,165,,,,
,Eca 1123,.990,,,,,,N,33,,,,Y,,90,l.red,,,
,Eca 1136,1.000,,,,,,N,33,,,,Y,,140,drk,,,
,Eca 1140,.910,,,,,,N,33,,,,Y,,180,drk,,,
,Eca 1142,1.000,,,,,,N,33,,,,Y,,120,light,,,
,Eca 4242,.920,,,,,,N,33,,,,Y,,150,drk,,,
,Eca 4360,.920,,,,,,N,33,,,,Y,,180,drk,,,
,Eca 4600,,,,,,,,,,,,,,,,,,
,Eca 4687,.950,,,,,,N,33,,,,Y,,130,drk,,,
,Eca 4735 B,.990,,,,,,N,33,,25,340,Y,,140,drk,,,
,Eca 4738,1.000,,,,,,N,33,,,,Y,,120,light,,,
,Eca 4758,.970,,,,,,N,33,,,,Y,,140,drk,,,
,Eca 4831,.860,,,,,,N,33,,,,Y,,180,,,,
,Eca 4868,.990,,,,,,N,33,,,,Y,,140,drk,,,
,Eca 4950,1.000,,,,,,N,33,,,,Y,,120,drk,,,
,Eca 4999,1.070,,,,,,N,33,,25,350,Y,,200,drk,,,
,Eca 5025,.930,,,,,,N,33,,,,Y,,180,drk,,,
,Eca 5087,1.100,,,,,,N,33,,,,Y,,170,,,,
,Eca 5246,.990,,,,,,N,33,,,,Y,,125,,,,
,Eca 5257,.960,,,,,,N,33,,,,Y,,120,drk,,,
,Eca 5344,.990,,,,,,N,33,,,,Y,,130,l.red,,,
,Eca 5604,.990,,,,,,N,33,,,,Y,,140,drk,,,
,Eca 5624,.890,,,,,,N,33,,,,Y,,180,light,,,
,Eca 5635,1.000,,,,,,N,33,,,,Y,,120,l.red,,,
,Eca 5667,1.000,,,,,,N,33,,,,Y,,140,red,,,
,Eca 5685,1.150,,,,,,N,33,,,,Y,,180,d.red,,,
,Eca 5686,1.100,,,,,,N,33,,,,Y,,100,light,,,
,ECa 5692,.900,,,,,,N,33,,,,Y,,180,lemon,,,
,Eca 5920,.900,,,,,,N,33,,,,,,100,l.yel,,,
,Eca 6024,.990,,,,,,N,33,,,,Y,,100,pale,,,
,Eca 6030,.920,,,,,,N,33,,,,Y,,180,drk,,,
,Eca 6060,.990,,,,,,N,33,,,,Y,,135,l.red,,,
,Eca 6121,.990,,,,,,N,33,,,,Y,,150,,,,
,Eca 6132,.920,,,,,,N,33,,,,Y,,140,,,,
,Eca 6354,1.100,,,,,,N,33,,,,Y,,180,drk,,,
,Eac 6371,1.060,,,,,,N,33,,25,355,Y,,120,light,,,
,Eca 6710,,,,,,,N,33,,,,Y,,,,,,
,Eca 6723,.900,,,,,,N,33,,25,90,Y,,,red.br,,,
,Eca 6846,.980,,,,,,N,33,,,,Y,,140,,,,
,Eca 6911,.860,,,,,,N,33,,,,Y,,175,light,,,
,Eca 6972,.960,,,,,,N,33,,,,Y,,170,drk,,,
,Eca 7197,1.000,,,,,,N,33,,,,Y,,150,drk,,,
,Eca 7199,.950,,,,,,N,33,,,,Y,,130,drk,,,
,Eca 7367,.970,,,,,,N,33,,,,Y,,140,drk,,,
,Eca 7371,.920,,,,,,N,33,,,,Y,,140,drk,,,
,Eca 7424A,.980,,,,,,N,33,,,,Y,,150,drk,,,
,Eca 7437A,.980,,,,,,N,33,,,,Y,,150,drk,,,
,Eca 7500,.940,,,,,,N,33,,25,410,Y,,180,drk,,,
,Eca 7588,1.000,,,,,,N,33,,,,Y,,140,drk,,,
,Eca 7644,.980,,,,,,N,33,,,,Y,,150,drk,,,
,Eca 7705,.860,,,,,,N,33,,,,Y,,180,,,,
,Eca 7751,.860,,,,,,N,33,,,,Y,,160,light,,,
,Eca 7773,1.000,,,,,,N,33,,,,Y,,140,drk,,,
,Eca 7779,.920,,,,,,N,33,,25,370,Y,,180,drk,,,
,Eca 7849,.920,,,,,,N,33,,25,370,Y,,180,drk,,,
,Eca 7965,.990,,,,,,N,33,,25,200,Y,,140,drk,,,
,Eca 8099,,,,,,,,,,,,,,,,,,
,Eca 8600,.960,,,,,,N,33,,25,300,Y,,,drk,,,
,Eca 8604,.990,,,,,,N,33,,25,295,Y,,140,drk,,,
,Eca 8611,.990,,,,,,N,33,,25,295,Y,,140,drk,,,
,Eca 8622,.990,,,,,,N,33,,25,295,Y,,140,drk,,,
,Eca 9002,.920,,,,,,N,33,,,,Y,,150,clr,,,
,Eca 9003,.880,,,,,,N,33,,,,Y,,140,pale,,,
,Eca 9252C,,,,,,,,,,,,,,,,,,
,Eca 9730 ,,,,,,,,,,,,,,,,,,
,Eca 9736,,,,,,,,,,,,,,,,,,
,Eca 9796,,,,,,,,,,,,,,,,,,
,Exxon Enj 1038,1.100,,,,,,N,33,,,,Y,,175,d.red,,,
,Exxon Enj 941,.810,,,,,,N,33,,25,90,Y,,,clear,,,
,Exxon Paraflow 149,.890,,,,,,N,33,,,,Y,,140,d-red,,,
